,Kon,Koff,Ksyn
0610007P14Rik,1.0427240996210692,6.111232782360747,13.128466507819418
0610009B22Rik,0.6875066698133013,2.9339803253138865,15.1909169300743
0610012G03Rik,0.07615237596372798,0.552255682996356,30.163824540016112
0610031J06Rik,3.536754285529726,211.008333340488,377.5120570259742
1110004E09Rik,0.14070868810346607,0.6615058171081135,8.993836020777719
1110007C09Rik,0.1029697244861157,0.5452669889238181,3.4111904348936237
1110008L16Rik,1.1116142818633181,84.20181165897786,204.25124429619154
1110032A03Rik,0.012983640265875278,0.15345275516478846,1.0343552179309834
1110037F02Rik,0.3991455054960238,0.7074247380772667,5.531227747573709
1110038B12Rik,3.009397840094048,430.3653358865083,566.9586942175625
1110038F14Rik,1.0050927455336254,1.368832422519643,4.342699404348433
1110051M20Rik,0.03604827864383792,0.30433246685837473,3.8748121804323223
1110057K04Rik,0.27825846928026315,1.1977893191629723,6.111523583050246
1110058L19Rik,0.4500467724736672,1.3503483200326147,6.861974484504452
1110059E24Rik,1.0369388783681937,34.96153771063088,55.52217060760775
1190007I07Rik,0.9932070622011794,193.79548287272073,247.31868820938172
1300002E11Rik,0.8153126315155363,4.26966620188915,5.545099528462556
1300002K09Rik,0.0035359855772171766,0.10556066498586109,1.0656102595290682
1500009L16Rik,0.1238913131765063,0.4577581871166549,2.375871467815672
1500011B03Rik,0.37681498732606433,1.0514693265812525,8.839792057105297
1500012F01Rik,1.5099732954566352,275.2610199839401,679.5661397817213
1500015A07Rik,0.02204467984821312,0.45215623651297987,2.087491858198943
1600012H06Rik,0.050252728842690775,0.16066490995805158,1.4552479374426153
1700001L05Rik,0.1049373896960919,1.0107053662677568,6.100735117466427
1700010I14Rik,0.015668484866712157,0.12139793099170974,1.0
1700017B05Rik,0.15085054817736182,0.4482994088749813,2.892770803202664
1700020I14Rik,0.1929964434305791,0.5756831476828517,4.434092927799556
1700021F05Rik,1.1498277525929101,4.789416276930039,17.673031111785775
1700025G04Rik,0.3930276610187671,48.18168842315973,63.80380134522437
1700030J22Rik,0.0460484818319977,2.171499191993532,3.145268306818299
1700030K09Rik,0.24096820363197488,3.8884692557941323,4.571889186803325
1700037H04Rik,0.705827890352654,2.1893124216537427,7.390759132777304
1700052N19Rik,0.7916047990494187,76.6997774512592,133.37526375218874
1700123O20Rik,0.7657416930991379,1.6475335396630495,5.970477561907836
1810009A15Rik,1.052899589680102,1.729655035819873,33.16784341112403
1810013L24Rik,0.7352135226814324,13.037683602545286,41.35864730074986
1810014B01Rik,0.04579424786237227,5.532539107841585,10.545905682281397
1810032O08Rik,0.8008837950601766,21.701537581788518,25.08342272361141
1810037I17Rik,2.085781675119665,73.99551886406033,275.3765236817291
1810043H04Rik,0.8652795231969881,1.9379084366248045,7.295898258799928
1810058I24Rik,3.1065870240670015,65.73874971728858,113.36611722472581
2010107E04Rik,1.948203702869081,2.524114879388624,34.87435903232571
2010107G23Rik,0.7646007536321103,163.44499920427677,231.23548257578196
2200002D01Rik,0.1278233779142206,79.22469030610912,80.17295938143089
2210016F16Rik,0.4948231202451989,2.3860490939020322,9.192278899295252
2210016L21Rik,1.4103406216060284,3.881959833400819,13.045968033453622
2210018M11Rik,0.5033020354488182,6.507572770998125,13.588741634240055
2300009A05Rik,0.08417570867739246,39.39769788997515,80.94329560845094
2310003H01Rik,0.16804631394800942,0.6852589192378447,2.963337949471378
2310009A05Rik,0.3168496061497288,2.070970404002112,5.419758488962462
2310009B15Rik,0.023774241502131463,0.7312347084418175,7.741508953345099
2310011J03Rik,0.4111522925618059,1.422077513054233,4.410299095260238
2310014L17Rik,0.01979871573471696,0.8284014247083307,2.3097461516731843
2310022B05Rik,1.2462329062291617,446.4378131006049,623.6803520666924
2310033P09Rik,0.11638769051843995,0.2485242633280297,3.0800245146782563
2310039H08Rik,0.6923301951571709,334.7848489126328,381.27285442576533
2310040G24Rik,0.06673580957838193,3.0041774605744,5.358748619302383
2310057M21Rik,0.1183807624103924,0.3536993298361103,3.667409876692194
2310068J16Rik,0.11456606469518706,0.6986885234385837,1.0
2410004B18Rik,0.2943289103130134,0.9569618140051439,3.4303152054985038
2410004N09Rik,1.0220532480714541,53.280967685427406,150.30028378652315
2410006H16Rik,1.6862803343189685,6.298566216524156,31.917885665005016
2410015M20Rik,1.9362390158857967,4.081374961160093,25.35251144740242
2410016O06Rik,0.6433220295282462,1.3648910186610235,4.831460957546635
2410127L17Rik,1.0075697678432392,91.50721785249235,134.51944170814627
2410131K14Rik,0.0029061593273740868,0.004763352931967146,1.3777089206622666
2510002D24Rik,0.31968534622035183,1.667935195336048,6.045606165056837
2510003E04Rik,0.08858468447477268,0.201051386317523,1.847273512566433
2510009E07Rik,0.4728897376979195,68.46894330786708,81.93307063363687
2610001J05Rik,0.3638819236196213,0.7420558008485254,3.7487329289090034
2610015P09Rik,0.5891343972521014,120.8492173117334,126.87654937651627
2610301B20Rik,0.0795026744237814,0.5265020097218532,2.3229940236137967
2610306M01Rik,0.019581738652414322,0.828479555341225,2.310026649139793
2610318N02Rik,0.4846893806539805,0.8859993785358256,4.059205182520891
2610507B11Rik,2.2103065934706336,332.2916690232955,758.2817419957653
2610524H06Rik,0.20808318788004707,1.3631793946405264,4.204526353698708
2700060E02Rik,0.0654762931430069,0.033814298557573494,7.837721210466359
2700081O15Rik,0.0600084234864747,0.06589910559850976,4.070339832541709
2700097O09Rik,0.665557863797362,1.0823685642782677,11.337471112197239
2700099C18Rik,0.32800448400696663,5.317687907381254,18.59514251709535
2810002D19Rik,0.036725130601549215,0.11599731623129593,1.0
2810004N23Rik,0.86916788750977,83.05748596817494,318.4765630996265
2810006K23Rik,0.21542905509640534,2.5081002942781514,5.167359341194789
2810025M15Rik,0.9965161987460045,1.3529610033177581,8.102843706926864
2810408A11Rik,0.09685277295375258,0.3998536642796358,1.0
2810408I11Rik,0.0332630881594096,0.23391576046990198,4.282454899017901
2810408M09Rik,0.4369215911652693,1.1762625021729336,3.5679633275282967
2810428I15Rik,0.6174242027076027,1.1964521610043382,6.746878287842528
2810474O19Rik,1.4556398429562267,12.445302040438458,46.31548358795611
2900011O08Rik,0.11069610911392891,45.17295438053949,75.26601390969172
2900041M22Rik,0.012735469039432372,0.41816346833225154,3.72588554827162
3010026O09Rik,0.33659865670063305,0.6820428192782377,2.3204450353459385
3110040N11Rik,0.18729954518315728,1.2993525831319195,6.458313869402336
3110043O21Rik,0.21189687263490353,0.4290000506153448,1.0
3110045C21Rik,0.003555784108231813,0.15758169786510406,1.931854601499567
3110052M02Rik,0.017890026687662236,0.2025146703069232,1.0
3110082I17Rik,1.4114681247066292,9.504203128627259,32.461538216458436
3830406C13Rik,0.19751361097635742,157.282570195002,229.87332464230605
4831440E17Rik,0.0672371067084097,1.4088197254909693,2.630194740196564
4833439L19Rik,0.6753584021139307,1.3692904574859859,2.577385742710077
